model,fraction,run,n_train,train_mse,test_mse,train_r2,test_r2
Classical,0.1,1,392,0.029808026407224877,0.04825885271436676,0.19002288773831943,0.05483335936533451
ANN (MLP),0.1,1,392,0.020747863926426007,0.052142969364130376,0.43621578030232966,-0.021238434289166275
Classical,0.1,2,392,0.03434401324265752,0.048364449516309964,0.172166517502788,0.052765208778639994
ANN (MLP),0.1,2,392,0.019115491732568983,0.05337918290120946,0.5392371887696501,-0.04545011215195749
Classical,0.1,3,392,0.04343585354541336,0.048760368005146056,0.1433029137206523,0.045011005621900635
ANN (MLP),0.1,3,392,0.027183766128207353,0.05322824238666763,0.4638472290688159,-0.042493888971320226
Classical,0.3,1,1178,0.03691969090819971,0.04626186861439448,0.09161588017279809,0.09394499685790447
ANN (MLP),0.3,1,1178,0.029957368184755497,0.047151952114297006,0.2629191398564852,0.07651239777672558
Classical,0.3,2,1178,0.03651284299096466,0.04662082649992661,0.08410390244077615,0.08691468014470327
ANN (MLP),0.3,2,1178,0.028302955828182545,0.05019380824223776,0.29004249822896044,0.016936573321126414
Classical,0.3,3,1178,0.03485296741543634,0.04698298650406976,0.09014983473630289,0.07982164880982623
ANN (MLP),0.3,3,1178,0.028820565511754628,0.04825254398309756,0.24762801453028382,0.05495691809093595
Classical,0.5,1,1963,0.03637681553048621,0.04652354351229628,0.0694815899900817,0.08882000174763671
ANN (MLP),0.5,1,1963,0.03265121139461702,0.04770001415410625,0.16478248937557116,0.0657784095467967
Classical,0.5,2,1963,0.03848632349163263,0.04634637325083835,0.07096406774021824,0.09228994376705613
ANN (MLP),0.5,2,1963,0.03370516769724516,0.04718489527140857,0.1863781974292683,0.07586719443293033
Classical,0.5,3,1963,0.03700640783649212,0.046302575824923566,0.07548304120475713,0.09314773179126257
ANN (MLP),0.5,3,1963,0.03298105596926235,0.04698555486055893,0.17604687011825204,0.0797713466426947
Classical,1.0,1,3927,0.035409560676294805,0.04654656468780679,0.07175800995688308,0.08836912391078644
ANN (MLP),1.0,1,3927,0.03297905062008594,0.04743357903456362,0.13547248278019286,0.07099663527577749
Classical,1.0,2,3927,0.035409560676294805,0.046546564687806775,0.07175800995688308,0.08836912391078677
ANN (MLP),1.0,2,3927,0.03284662532922802,0.04807796522384005,0.13894393831847884,0.05837610462631049
Classical,1.0,3,3927,0.035409560676294805,0.04654656468780676,0.07175800995688308,0.08836912391078688
ANN (MLP),1.0,3,3927,0.033049450206981586,0.046976601967053104,0.13362699666316302,0.07994669221771167
